input,output,original
"googl help develop website. it’ go quickli done, unlik websit past, determin whether test warrant facilit test nearbi conveni location. many, mani locat behind us, way. cover — countri larg part. world, way — we’r go talk world right now. cover very, strongli country. store virtual everi location. googl 1,700 engin work right now. they’v made tremend progress. overrid goal stop spread viru help american impact",0,"Google is helping to develop a website. It’s going to be very quickly done, unlike websites of the past, to determine whether a test is warranted and to facilitate testing at a nearby convenient location. We have many, many locations behind us, by the way. We cover the — this country in large part. So the world, by the way — we’re not going to be talking about the world right now. But we cover very, very strongly our country. Stores in virtually every location. Google has 1,700 engineers working on this right now. They’ve made tremendous progress. Our overriding goal is to stop the spread of the virus and to help all Americans who have been impacted by this"
current specif medicin recommend prevent treat new coronaviru,1,There is currently no specific medicine recommended to prevent or treat the new coronavirus
"reach lungs, coronaviru remain throat four day drink lot water gargl warm water & salt vinegar elimin viru",0,"Before it reaches the lungs, the coronavirus remains in the throat for four days and that drinking a lot of water and gargling with warm water & salt or vinegar eliminates the virus"
drink lot water elimin coronaviru,0,Drinking a lot of water will eliminate the coronavirus
"salin water water vinegar sometim use help sooth sore throat, doesn’t kill viru",1,"While saline water or water with vinegar is sometimes used to help soothe a sore throat, but it doesn’t kill the virus"
presid donald trump impos nationwid mandatori quarantin,0,President Donald Trump will impose a nationwide mandatory quarantine
"american stock two week supplies, mandatori nationwid quarantin soon implement respons covid-19 pandem",0,"Americans are to stock up on two weeks of supplies, and a mandatory nationwide quarantine will soon be implemented in response to the COVID-19 pandemic"
within 48 72 hours… presid order two week mandatori quarantin nation. stock whatev guy need make sure two week suppli everything. pleas forward network,0,Within 48 to 72 Hours… The president will order a two week mandatory quarantine for the nation. Stock up on whatever you guys need to make sure you have a two week supply of everything. Please forward to your network
coronaviru harmful. least deadli most-hyp media,0,The coronavirus is not so harmful. It was the least deadly and most-hyped by the media
"“a friend alert friend work emerg manag team nypd plan put contain action place weekend,” reads. “it look like metro north shut down, limit subway service, emerg vehicl road.”",0,"“A friend just alerted me that her friend who works in the emergency management team at the NYPD plans to put containment actions in place this weekend,” it reads. “It will look like the metro north shutting down, limited subway service, and only emergency vehicles on the road.”"
"california go quarantined. “state border close number case ca,” reads. “busi close abl move certain thing sure what.”",0,"California is going to be quarantined. “State borders are closing because of the number of cases in CA,” it reads. “Businesses will close and we will only be able to move about for certain things not sure what.”"
"""from friend stanford hospit board. feedback corona virus: new coronaviru may show sign infect mani days. one know he/sh infected? time fever and/or cough go hospital, lung usual 50% fibrosi late...taiwan expert provid simpl self-check everi morning. take deep breath hold breath 10 seconds. complet success without coughing, without discomfort, stiff tightness, etc., prove fibrosi lungs, basic indic infection. critic time, pleas self-check everi morn environ clean air",0,"""From a friend at the Stanford hospital board. This is their feedback on Corona virus: The new Coronavirus may not show sign of infection for many days. How can one know if he/she is infected? By the time they have fever and/or cough and go to the hospital, the lung is usually 50% Fibrosis and it's too late...Taiwan experts provide a simple self-check that we can do every morning. Take a deep breath and hold your breath for more than 10 seconds. If you complete it successfully without coughing, without discomfort, stiffness or tightness, etc., it proves there is no Fibrosis in the lungs, basically indicates no infection. In critical time, please self-check every morning in an environment with clean air"
"seriou excel advic japanes doctor treat covid-19 cases: everyon ensur mouth & throat moist, never dry. take sip water everi 15 minut least. why? even viru get mouth, drink water liquid wash throat stomach. there, stomach acid kill virus. don’t drink enough water regularly, viru enter windpip lungs. that' dangerous. pleas send share famili friends. take care everyon may world recov coronaviru soon. pleas forward kid friend",0,"Serious excellent advice by Japanese doctors treating COVID-19 cases: Everyone should ensure your mouth & throat are moist, never dry. Take a few sips of water every 15 minutes at least. Why? Even if the virus gets into your mouth, drinking water or other liquids will wash them down through your throat and into the stomach. Once there, your stomach acid will kill all the virus. If you don’t drink enough water more regularly, the virus can enter your windpipe and into the lungs. That's very dangerous. Please send and share this with family and friends. Take care everyone and may the world recover from this Coronavirus soon. Please forward to your kids and friends"
"runni nose sputum, common cold. coronaviru pneumonia dri cough runni nose",0,"If you have a runny nose and sputum, you have a common cold. Coronavirus pneumonia is a dry cough with no runny nose"
fabric surviv 6-12 hours. normal laundri deterg kill coronaviru,0,On fabric it can survive for 6-12 hours. normal laundry detergent will kill coronavirus
drink warm water effect viruses. tri drink liquid ice,0,Drinking warm water is effective for all viruses. Try not to drink liquids with ice
also gargl prevention. simpl solut salt warm water suffic,0,You should also gargle as a prevention. A simple solution of salt in warm water will suffice
"seriou excel advic japanes doctor treat covid-19 cases: everyon ensur mouth & throat moist, never dry. take sip water everi 15 minut least. why? even viru get mouth, drink water liquid wash throat stomach. there, stomach acid kill virus. drink enough water regularly, viru enter windpip lungs. that' dangerous. pleas send share famili friends. take care everyon may world recov coronaviru soon",0,"Serious excellent advice by Japanese doctors treating COVID-19 cases: Everyone should ensure your mouth & throat are moist, never dry. Take a few sips of water every 15 minutes at least. Why? Even if the virus gets into your mouth, drinking water or other liquids will wash them down through your throat and into the stomach. Once there, your stomach acid will kill all the virus. If you don't drink enough water more regularly, the virus can enter your windpipe and into the lungs. That's very dangerous. Please send and share this with family and friends. Take care everyone and may the world recover from this Coronavirus soon"
